pair	dS	dN	t	kappa	omega	dN_SE	dS_SE
OB11G10340.1_OB01G31340.1	4.3818	0.4094	3.9882	1.3090	0.0934	0.0238	8.0615
OB11G10340.1_OB01G33070.1	5.0577	0.3811	4.3313	1.2657	0.0753	0.0224	19.9271
OB11G10340.1_OB01G34820.1	4.3744	0.4078	4.0082	1.5364	0.0932	0.0241	8.0219
OB11G10340.1_OB12G10710.1	0.0308	0.0085	0.0414	1.9170	0.2765	0.0027	0.0094
OB11G10360.1_OB12G10720.1	0.0183	0.0125	0.0431	3.4325	0.6845	0.0062	0.0109
OB11G10370.1_OB12G10730.1	-0.0000	-0.0000	-0.0000	4.6000	99.0000	0.0000	0.0000
OB11G10460.1_OB01G20440.1	4.0450	0.4561	3.8582	1.5100	0.1128	0.0323	6.4505
OB11G10460.1_OB03G19840.1	3.9350	0.6128	4.1584	1.6777	0.1557	0.0448	5.9988
OB11G10460.1_OB03G19850.1	4.0195	0.4700	3.8286	1.2688	0.1169	0.0332	6.3430
OB11G10460.1_OB04G19840.1	3.9415	0.4731	3.5154	1.2932	0.1200	0.0326	6.0243
OB11G10460.1_OB06G25460.1	4.0233	0.4165	3.6805	1.6873	0.1035	0.0300	6.3587
OB11G10460.1_OB06G25470.1	3.8416	0.3286	3.1438	1.4486	0.0855	0.0269	5.6404
OB11G10460.1_OB07G31690.1	4.0430	0.3025	3.5288	1.4163	0.0748	0.0241	6.4421
OB11G10460.1_OB07G31720.1	4.0729	0.3039	3.6782	1.8751	0.0746	0.0245	6.5707
OB11G10460.1_OB07G31740.1	4.0362	0.3829	3.8871	1.6026	0.0949	0.0299	6.4132
OB11G10460.1_OB07G31750.1	3.9752	0.3901	3.4511	1.1745	0.0981	0.0284	6.1602
OB11G10460.1_OB10G10370.1	3.9632	0.5467	3.7722	1.0933	0.1379	0.0371	6.1113
OB11G10460.1_OB10G10380.1	4.0448	0.4811	3.9468	1.1560	0.1189	0.0340	6.4498
OB11G10490.1_OB01G20440.1	3.8336	0.4182	3.0143	1.2144	0.1091	0.0288	5.6108
OB11G10490.1_OB03G19840.1	3.6411	0.4992	2.9748	1.3665	0.1371	0.0359	4.9433
OB11G10490.1_OB03G19850.1	3.8127	0.4526	3.0520	0.9916	0.1187	0.0308	5.5340
OB11G10490.1_OB04G19840.1	3.6302	0.4308	2.5493	1.3089	0.1187	0.0289	4.9081
OB11G10490.1_OB06G25460.1	3.7116	0.3386	2.5069	1.4555	0.0912	0.0245	5.1778
OB11G10490.1_OB06G25470.1	3.5005	0.2730	2.0771	1.3034	0.0780	0.0227	4.5080
OB11G10490.1_OB07G31690.1	3.7893	0.3307	2.7093	1.6032	0.0873	0.0245	5.4492
OB11G10490.1_OB07G31720.1	3.8120	0.3477	2.8273	1.2769	0.0912	0.0256	5.5315
OB11G10490.1_OB07G31740.1	3.7913	0.3907	2.9921	1.6441	0.1030	0.0289	5.4566
OB11G10490.1_OB07G31750.1	3.6826	0.4110	2.6420	1.7374	0.1116	0.0283	5.0800
OB11G10490.1_OB10G10370.1	3.6923	0.4452	2.7431	1.1358	0.1206	0.0300	5.1124
OB11G10490.1_OB10G10380.1	3.9623	0.4864	3.5923	1.4147	0.1228	0.0332	6.1079
OB11G10490.1_OB11G10460.1	4.0588	0.3412	3.6508	1.6089	0.0841	0.0261	6.5096
OB11G10530.1_OB12G10780.1	0.0107	0.0047	0.0183	1.1088	0.4413	0.0027	0.0076
OB11G10540.1_OB12G10790.1	0.0116	0.0021	0.0137	1.9451	0.1775	0.0012	0.0048
OB11G10560.1_OB12G10810.1	0.0850	-0.0000	0.0617	5.6604	0.0000	0.0000	0.0393
OB11G10570.1_OB01G16780.1	4.1915	0.4464	3.5742	1.8624	0.1065	0.0263	7.1067
OB11G10570.1_OB06G25380.1	4.1531	0.5351	3.6616	1.6769	0.1288	0.0303	6.9286
OB11G10570.1_OB08G23620.1	4.0650	0.4279	3.4178	1.4082	0.1053	0.0273	6.5365
OB11G10570.1_OB09G17000.1	4.0583	0.4501	3.6783	2.0172	0.1109	0.0304	6.5077
OB11G10590.1_OB12G10840.1	0.0751	0.0217	0.1035	1.5482	0.2887	0.0049	0.0168
OB11G10600.1_OB12G10850.1	-0.0000	0.0109	0.0255	2.0414	99.0000	0.0077	0.0000
OB11G10610.1_OB12G10860.1	0.1006	0.0164	0.0831	2.6747	0.1629	0.0032	0.0219
OB11G10660.1_OB11G10670.1	99.0000	0.3236	41.9890	1.7022	0.0033	0.0391	-nan
OB11G10660.1_OB11G10690.1	99.0000	0.3434	39.7459	2.0962	0.0035	0.0407	0.0000
OB11G10660.1_OB12G10870.1	1.5584	0.4347	1.7682	1.9549	0.2789	0.0490	0.5505
OB11G10660.1_OB12G10880.1	-0.0000	-0.0000	-0.0000	4.6000	99.0000	0.0000	0.0000
OB11G10660.1_OB12G10890.1	99.0000	0.3225	41.6555	1.7202	0.0033	0.0394	0.0000
OB11G10660.1_OB12G10930.1	0.8561	0.2943	1.1463	1.6770	0.3438	0.0372	0.2757
OB11G10670.1_OB12G10870.1	2.7224	0.3062	1.7178	2.1036	0.1125	0.0377	2.7259
OB11G10670.1_OB12G10890.1	0.1294	0.0063	0.0465	2.0523	0.0486	0.0045	0.0785
OB11G10690.1_OB11G10670.1	2.3271	0.0710	0.6505	2.5888	0.0305	0.0154	11.1821
OB11G10690.1_OB12G10870.1	99.0000	0.3014	31.1351	2.3634	0.0030	0.0372	0.0000
OB11G10690.1_OB12G10890.1	1.2276	0.0753	0.4274	3.1708	0.0614	0.0160	0.7355
OB11G10690.1_OB12G10930.1	2.7659	0.3532	1.8980	1.6559	0.1277	0.0415	2.8024
OB11G10700.1_OB12G10940.1	0.0453	0.0060	0.0434	0.9625	0.1332	0.0035	0.0187
OB11G10720.1_OB12G10960.1	0.0578	0.0028	0.0396	1.5288	0.0492	0.0020	0.0197
OB11G10740.1_OB12G11010.1	0.0714	0.0075	0.0638	0.9458	0.1050	0.0038	0.0230
OB11G10760.1_OB12G11030.1	0.0869	0.0566	0.1885	1.4545	0.6507	0.0089	0.0222
OB11G10780.1_OB11G10790.1	0.3138	0.1787	0.6279	2.9230	0.5695	0.0111	0.0317
OB11G10780.1_OB12G11050.1	0.0438	0.0327	0.1071	9.6593	0.7464	0.0045	0.0087
OB11G10830.1_OB12G11070.1	3.7628	0.2498	3.4013	1.8017	0.0664	0.0270	5.3553
OB11G10890.1_OB12G11120.1	0.0315	0.0129	0.0534	1.6462	0.4086	0.0034	0.0090
OB11G10900.1_OB12G11150.1	0.0556	0.0299	0.1094	1.2963	0.5373	0.0065	0.0153
OB11G10910.1_OB05G19970.1	2.2916	0.4613	2.7299	1.1209	0.2013	0.0311	0.5934
OB11G10910.1_OB12G11160.1	0.0310	0.0167	0.0599	1.2027	0.5401	0.0044	0.0113
OB11G10930.1_OB12G11170.1	0.0648	0.0424	0.1472	3.6207	0.6554	0.0066	0.0127
OB11G10940.1_OB12G11190.1	1.6449	0.4031	2.1856	2.4906	0.2451	0.0247	0.2194
OB11G10970.1_OB06G24480.1	3.2087	0.2245	1.7772	2.1401	0.0700	0.0236	3.7268
OB11G10970.1_OB12G11200.1	0.0812	0.0142	0.0645	2.0804	0.1749	0.0049	0.0365
OB11G11010.1_OB12G11240.1	-0.0000	0.0086	0.0180	4.6000	99.0000	0.0086	0.0000
OB11G11020.1_OB12G11250.1	0.1477	0.0882	0.3020	1.5405	0.5975	0.0122	0.0319
OB11G11020.1_OB12G11270.1	1.8614	0.2908	1.8196	1.5193	0.1562	0.0271	0.4730
OB11G11090.1_OB02G11190.1	2.8109	0.5215	3.3159	1.9605	0.1855	0.0348	3.4718
OB11G11090.1_OB03G12450.1	3.9934	0.3779	3.8728	1.5453	0.0946	0.0307	6.2343
OB11G11090.1_OB03G15340.1	2.1907	0.4443	2.7069	2.0566	0.2028	0.0307	0.5034
OB11G11090.1_OB03G15900.1	4.1212	0.3809	3.7005	1.4174	0.0924	0.0266	6.7837
OB11G11090.1_OB03G22360.1	4.1278	0.3930	3.7776	1.2772	0.0952	0.0273	6.8135
OB11G11090.1_OB05G35390.1	3.7123	0.4817	3.7950	1.2930	0.1298	0.0321	3.8244
OB11G11090.1_OB06G14270.1	4.1321	0.3622	3.7098	1.0568	0.0877	0.0257	6.8330
OB11G11090.1_OB06G35820.1	4.1663	0.4736	4.1104	1.4144	0.1137	0.0317	6.9895
OB11G11090.1_OB07G27510.1	4.1039	0.4275	3.7744	1.4093	0.1042	0.0291	6.7068
OB11G11090.1_OB07G32370.1	4.0807	0.5017	3.8241	1.4781	0.1229	0.0326	6.6047
OB11G11090.1_OB08G24400.1	4.1302	0.5470	4.1418	1.2008	0.1324	0.0357	6.8242
OB11G11090.1_OB09G27190.1	3.7764	0.3871	3.3880	1.5818	0.1025	0.0329	5.4033
OB11G11090.1_OB10G18400.1	4.0883	0.4110	3.7025	1.4615	0.1005	0.0284	6.6380
OB11G11110.1_OB06G28440.1	3.6173	0.2849	3.1066	1.3206	0.0788	0.0302	4.8667
OB11G11110.1_OB12G11310.1	0.0482	0.0160	0.0781	6.8003	0.3326	0.0066	0.0172
OB11G11130.1_OB12G11330.1	0.4599	0.1310	0.5499	1.9829	0.2848	0.0152	0.0864
OB11G11140.1_OB12G11340.1	0.2401	-0.0000	0.2252	5.6562	0.0000	0.0000	0.0517
OB11G11150.1_OB12G11350.1	-0.0000	0.0171	0.0389	1.7300	99.0000	0.0121	0.0000
OB11G11170.1_OB12G11380.1	0.1548	0.0383	0.2393	20.8111	0.2473	0.0117	0.0333
OB11G11180.1_OB12G11390.1	0.0825	0.0270	0.1232	1.5528	0.3274	0.0103	0.0317
OB11G11210.1_OB12G11500.1	0.0478	0.0072	0.0434	2.5922	0.1506	0.0032	0.0183
OB11G11230.1_OB12G11510.1	0.0451	0.0258	0.0889	1.1938	0.5730	0.0055	0.0148
OB11G11240.1_OB12G11520.1	0.0539	0.0162	0.0824	4.7072	0.2996	0.0050	0.0144
OB11G11250.1_OB12G11530.1	0.0977	0.0562	0.1967	2.2510	0.5756	0.0070	0.0178
OB11G11260.1_OB12G11540.1	0.0261	0.0035	0.0252	2.8530	0.1349	0.0018	0.0093
OB11G11350.1_OB12G11650.1	0.0280	0.0272	0.0821	1.3873	0.9724	0.0043	0.0080
OB11G11360.1_OB12G11670.1	0.0844	0.0219	0.1021	2.3618	0.2600	0.0078	0.0329
OB11G11370.1_OB12G11680.1	0.0039	0.0104	0.0263	3.8946	2.6425	0.0037	0.0039
OB11G11380.1_OB12G11690.1	0.0217	0.0054	0.0288	2.5979	0.2473	0.0024	0.0082
OB11G11390.1_OB12G11700.1	0.0037	0.0013	0.0056	4.6000	0.3398	0.0013	0.0037
OB11G11400.1_OB12G11710.1	-0.0000	-0.0000	-0.0000	4.6000	99.0000	0.0000	0.0000
OB11G11410.1_OB12G11720.1	0.0810	0.0299	0.1278	1.9195	0.3687	0.0049	0.0146
OB11G11490.1_OB12G11860.1	0.1697	0.0517	0.2529	7.6176	0.3049	0.0069	0.0228
OB11G11500.1_OB12G11870.1	0.0715	0.0952	0.2689	0.8759	1.3318	0.0225	0.0350
OB11G11510.1_OB12G11880.1	0.0435	0.0096	0.0626	7.3017	0.2199	0.0043	0.0133
OB11G11560.1_OB03G25220.1	1.7452	0.2942	1.9207	1.8115	0.1686	0.0164	0.2212
OB11G11560.1_OB04G14710.1	0.6039	0.1435	0.7828	2.9954	0.2377	0.0107	0.0593
OB11G11560.1_OB07G32380.1	1.5826	0.3334	1.9749	2.5210	0.2107	0.0182	0.1727
OB11G11560.1_OB11G11580.1	0.9151	0.1523	1.0149	2.2367	0.1665	0.0109	0.1090
OB11G11560.1_OB12G11910.1	0.0180	0.0034	0.0213	3.3006	0.1876	0.0015	0.0060
OB11G11560.1_OB12G11920.1	0.8599	0.1421	0.9562	2.4507	0.1652	0.0106	0.0997
OB11G11630.1_OB12G11980.1	0.0027	0.0073	0.0176	9.6194	2.6819	0.0030	0.0027
OB11G11670.1_OB12G12010.1	0.0310	0.0240	0.0779	8.2804	0.7732	0.0099	0.0181
OB11G11680.1_OB12G12020.1	0.0284	0.0069	0.0335	1.2828	0.2425	0.0025	0.0104
OB11G11690.1_OB12G12030.1	0.0299	0.0049	0.0330	1.2093	0.1638	0.0018	0.0079
OB11G11700.1_OB12G12040.1	0.0472	0.0288	0.1022	5.2007	0.6096	0.0048	0.0099
OB11G11710.1_OB07G15020.1	0.6543	0.3908	1.3691	1.3959	0.5974	0.0431	0.1195
OB11G11710.1_OB12G12050.1	0.2426	0.1472	0.5075	0.6365	0.6065	0.0229	0.0571
OB11G11720.1_OB12G12060.1	0.0422	0.0097	0.0505	6.5550	0.2307	0.0029	0.0119
OB11G11730.1_OB12G12070.1	0.2546	0.1960	0.6426	1.3032	0.7699	0.0512	0.0900
OB11G11760.1_OB01G37290.1	0.3378	0.0502	0.2511	9.1851	0.1485	0.0142	0.1363
OB11G11770.1_OB01G16780.1	4.2516	0.5311	4.0653	1.4255	0.1249	0.0310	7.3954
OB11G11770.1_OB03G25200.1	4.2674	0.1609	3.2627	1.3443	0.0377	0.0137	7.4728
OB11G11770.1_OB03G26320.1	4.2394	0.4191	3.7719	1.5620	0.0989	0.0258	7.3357
OB11G11770.1_OB05G27700.1	4.2500	0.4543	3.9508	1.6065	0.1069	0.0279	7.3875
OB11G11770.1_OB06G25380.1	4.2280	0.5743	4.0861	1.5128	0.1358	0.0332	7.2804
OB11G11770.1_OB08G23620.1	99.0000	0.4345	68.0111	1.4368	0.0044	0.0282	-nan
OB11G11770.1_OB09G17000.1	4.1151	0.4913	3.9886	1.3782	0.1194	0.0328	6.7565
OB11G11770.1_OB11G10570.1	4.2455	0.4653	3.8871	1.2678	0.1096	0.0279	7.3652
OB11G11770.1_OB12G10820.1	4.2466	0.4707	3.9041	1.2979	0.1108	0.0282	7.3706
OB11G11770.1_OB12G12090.1	0.0544	0.0041	0.0497	2.1756	0.0748	0.0020	0.0134
OB11G11800.1_OB12G12120.1	0.0399	0.0088	0.0492	3.0795	0.2195	0.0029	0.0112
OB11G11810.1_OB12G12130.1	0.0590	0.0668	0.1947	2.4675	1.1324	0.0167	0.0284
OB11G11840.1_OB01G20800.1	1.9291	0.3641	2.2703	1.4997	0.1888	0.0242	0.3426
OB11G11840.1_OB11G11860.1	1.2997	0.2560	1.6042	1.8138	0.1969	0.0180	0.2094
OB11G11840.1_OB11G11900.1	1.9093	0.2848	2.1354	1.7354	0.1492	0.0193	0.7063
OB11G11840.1_OB12G12170.1	1.3290	0.2169	1.5367	2.1234	0.1632	0.0163	0.2373
OB11G11840.1_OB12G12180.1	1.3547	0.2542	1.6432	1.7932	0.1877	0.0179	0.2323
OB11G11860.1_OB12G12170.1	1.3199	0.2888	1.6642	1.6625	0.2188	0.0193	0.2392
OB11G11880.1_OB12G12190.1	0.2268	0.0590	0.2648	1.3821	0.2604	0.0199	0.1093
OB11G11880.1_OB12G12210.1	0.2038	0.0594	0.2579	2.0183	0.2913	0.0195	0.0869
OB11G11900.1_OB11G11860.1	1.3157	0.2316	1.5411	1.8608	0.1760	0.0167	0.2604
OB11G11900.1_OB12G12170.1	1.5389	0.3601	1.9986	2.0987	0.2340	0.0225	0.3478
OB11G11910.1_OB12G12220.1	0.0451	0.0267	0.0952	3.1252	0.5931	0.0067	0.0144
OB11G11920.1_OB01G32610.1	4.1704	0.2115	2.8721	1.4016	0.0507	0.0154	7.0084
OB11G11920.1_OB01G43350.1	4.0593	0.1523	2.1477	1.2298	0.0375	0.0116	6.5118
OB11G11920.1_OB01G44890.1	4.3358	0.4292	3.6992	1.6372	0.0990	0.0237	7.8193
OB11G11920.1_OB02G35490.1	4.3197	0.3517	3.4527	1.2578	0.0814	0.0203	7.7366
OB11G11920.1_OB02G45320.1	3.9345	0.3232	2.3488	1.8005	0.0821	0.0188	5.9966
OB11G11920.1_OB03G12240.1	4.4152	0.4245	4.0123	1.7043	0.0961	0.0238	8.2420
OB11G11920.1_OB03G37200.1	3.8287	0.3751	2.4742	1.4152	0.0980	0.0228	5.5928
OB11G11920.1_OB03G43690.1	4.2159	0.3420	3.0640	1.8187	0.0811	0.0197	7.2223
OB11G11920.1_OB03G43730.1	4.3105	0.3702	3.4625	1.5566	0.0859	0.0211	7.6896
OB11G11920.1_OB03G45230.1	4.3040	0.3893	3.5431	1.7033	0.0905	0.0222	7.6562
OB11G11920.1_OB04G29940.1	4.2746	0.3361	3.3243	1.2402	0.0786	0.0199	7.5089
OB11G11920.1_OB05G28700.1	4.0117	0.1525	2.0589	1.5875	0.0380	0.0117	6.3102
OB11G11920.1_OB07G12880.1	4.3464	0.3806	3.6249	1.4968	0.0876	0.0216	7.8747
OB11G11920.1_OB07G21950.1	4.3487	0.2853	3.4572	1.5233	0.0656	0.0179	7.8863
OB11G11920.1_OB07G24940.1	2.8442	0.4036	2.6432	1.5766	0.1419	0.0224	1.1166
OB11G11920.1_OB08G28890.1	3.8066	0.3377	2.3942	1.8277	0.0887	0.0217	5.5117
OB11G11920.1_OB09G22900.1	2.0999	0.3836	2.1903	1.7233	0.1827	0.0245	0.4756
OB11G11920.1_OB10G24260.1	4.4109	0.4606	4.0826	1.5994	0.1044	0.0254	8.2186
OB11G11920.1_OB11G13670.1	4.2401	0.3116	3.2458	1.3627	0.0735	0.0194	7.3393
OB11G11920.1_OB12G12230.1	0.0179	0.0026	0.0152	2.6406	0.1438	0.0015	0.0090
OB11G11920.1_OB12G14200.1	4.2265	0.2976	3.2198	1.3549	0.0704	0.0190	7.2733
OB11G11920.1_OB12G16160.1	4.0350	0.3847	3.2011	1.6024	0.0953	0.0250	6.4081
OB11G11920.1_OB12G20320.1	4.0581	0.3121	2.5333	1.4361	0.0769	0.0180	6.5068
OB11G11930.1_OB12G12240.1	-0.0000	0.0223	0.0492	4.6000	99.0000	0.0130	0.0000
OB11G11940.1_OB12G12250.1	0.0269	0.0145	0.0540	3.9859	0.5382	0.0044	0.0096
OB11G11980.1_OB12G12270.1	0.0467	0.0241	0.0896	1.6797	0.5159	0.0045	0.0110
OB11G11990.1_OB01G20870.1	1.9558	0.2849	2.2311	1.7225	0.1457	0.0219	0.7956
OB11G11990.1_OB12G12290.1	0.0673	0.0138	0.0858	2.5668	0.2057	0.0041	0.0151
OB11G12000.1_OB12G12320.1	0.0201	0.0080	0.0334	2.9772	0.3978	0.0014	0.0038
OB11G12040.1_OB12G12520.1	0.0442	0.0381	0.1203	1.5330	0.8622	0.0079	0.0122
OB11G12060.1_OB12G12540.1	0.0175	0.0078	0.0315	2.5956	0.4446	0.0029	0.0072
OB11G12070.1_OB12G12550.1	0.1103	0.0243	0.0919	17.3622	0.2204	0.0071	0.0576
OB11G12120.1_OB12G12600.1	0.1308	0.0662	0.2464	1.4810	0.5058	0.0092	0.0234
OB11G12130.1_OB12G12610.1	0.0021	0.0009	0.0038	4.6000	0.4224	0.0009	0.0021
OB11G12160.1_OB12G12640.1	0.0178	0.0094	0.0353	5.6412	0.5262	0.0047	0.0103
OB11G12170.1_OB12G12650.1	0.0053	0.0020	0.0088	4.6000	0.3786	0.0020	0.0053
OB11G12200.1_OB12G12660.1	0.0373	0.0109	0.0467	0.6216	0.2927	0.0034	0.0137
OB11G12250.1_OB12G12720.1	0.5597	0.2409	0.9900	3.6950	0.4305	0.0203	0.0716
OB11G12270.1_OB12G12760.1	0.1242	0.0960	0.3118	3.1790	0.7736	0.0149	0.0281
OB11G12320.1_OB12G12810.1	0.2066	0.0492	0.2705	2.8638	0.2382	0.0058	0.0229
OB11G12350.1_OB12G12840.1	0.3299	0.0412	0.3489	2.0697	0.1249	0.0091	0.0533
OB11G12410.1_OB11G15370.1	2.1122	0.4132	2.5758	1.4289	0.1956	0.0221	0.3491
OB11G12410.1_OB12G12890.1	0.3353	0.0173	0.3006	1.4882	0.0516	0.0039	0.0366
OB11G12610.1_OB12G13000.1	0.4673	0.1869	0.7708	1.5065	0.3999	0.0149	0.0519
OB11G12670.1_OB04G18870.1	2.0918	0.2112	1.4101	1.5934	0.1010	0.0153	0.5528
OB11G12700.1_OB01G10860.1	3.5780	0.4411	3.4880	2.1677	0.1233	0.0430	4.7430
OB11G12700.1_OB01G17510.1	3.5759	0.3712	3.3058	1.8355	0.1038	0.0375	4.7363
OB11G12700.1_OB02G18690.1	3.8054	0.4034	3.7951	2.1609	0.1060	0.0408	6.1077
OB11G12700.1_OB02G26860.1	2.0276	0.1176	1.7466	3.0610	0.0580	0.0185	0.6092
OB11G12700.1_OB02G30600.1	2.6202	0.4022	2.8467	1.1845	0.1535	0.0404	1.3071
OB11G12700.1_OB04G18900.1	1.9634	0.1010	1.6475	3.5490	0.0514	0.0169	0.5645
OB11G12700.1_OB06G13480.1	2.1660	0.3656	2.4574	2.1072	0.1688	0.0375	0.7098
OB11G12700.1_OB06G23780.1	3.6351	0.4840	3.7982	2.8342	0.1331	0.0471	4.9238
OB11G12700.1_OB06G25800.1	2.4221	0.4538	2.8456	1.9486	0.1874	0.0447	1.0017
OB11G12700.1_OB09G22840.1	2.9335	0.4948	3.3957	2.0750	0.1687	0.0480	5.0794
OB11G12700.1_OB12G13090.1	0.5372	0.0420	0.5253	2.5807	0.0782	0.0108	0.0981
OB11G12700.1_OB12G16210.1	3.5839	0.4722	3.5682	1.9161	0.1318	0.0453	4.7613
OB11G12740.1_OB12G13220.1	2.0071	0.2132	1.0901	2.0539	0.1062	0.0188	0.8008
OB11G12780.1_OB11G12790.1	0.6970	0.1203	0.8174	2.4078	0.1726	0.0112	0.0755
OB11G12830.1_OB05G26010.1	2.8447	0.3958	2.4880	1.4164	0.1391	0.0320	1.7247
OB11G12830.1_OB12G13350.1	1.2895	0.2133	1.1144	1.7387	0.1654	0.0197	0.3836
OB11G12860.1_OB07G16540.1	0.9780	0.3484	1.5751	1.9365	0.3562	0.0262	0.1274
OB11G12860.1_OB12G13370.1	0.4101	0.1399	0.6604	1.9254	0.3411	0.0145	0.0470
OB11G12890.1_OB01G28310.1	3.2404	0.3112	3.2140	2.1963	0.0960	0.0121	6.0865
OB11G12910.1_OB01G47170.1	2.8360	0.1434	1.5087	5.0910	0.0506	0.0302	8.7391
OB11G12910.1_OB02G23670.1	3.1094	0.3997	2.4579	1.1704	0.1286	0.0427	3.4945
OB11G12910.1_OB04G19540.1	0.8876	0.0227	0.3772	0.7189	0.0255	0.0081	0.2504
OB11G12910.1_OB04G21720.1	3.2871	0.0343	2.0180	1.9671	0.0104	0.0104	3.9218
OB11G12920.1_OB12G13420.1	0.7472	0.1059	0.6567	1.9273	0.1417	0.0133	0.1414
OB11G13000.1_OB12G13520.1	1.0588	0.1886	1.0996	1.7581	0.1782	0.0216	0.2569
OB11G13040.1_OB12G20260.1	1.3716	0.2102	1.4125	1.7906	0.1533	0.0154	0.1676
OB11G13060.1_OB12G13590.1	2.7704	0.0963	0.8318	0.8350	0.0348	0.0139	2.8105
OB11G13080.1_OB04G37230.1	1.9853	0.2453	1.9415	1.3991	0.1236	0.0148	0.3105
OB11G13080.1_OB12G13600.1	0.6839	0.0922	0.7460	2.6082	0.1348	0.0085	0.0682
OB11G13150.1_OB02G27270.1	1.8360	0.2018	1.8188	1.5983	0.1099	0.0125	0.4507
OB11G13170.1_OB12G13650.1	0.7724	0.2319	1.1138	2.8010	0.3003	0.0124	0.0687
OB11G13260.1_OB08G29740.1	0.9550	0.2646	1.3178	1.9451	0.2771	0.0259	0.1880
OB11G13260.1_OB08G29800.1	0.9510	0.3423	1.5066	2.7003	0.3600	0.0316	0.1918
OB11G13260.1_OB08G29860.1	0.8927	0.3285	1.4296	2.6461	0.3680	0.0305	0.1718
OB11G13260.1_OB08G29880.1	1.6523	0.3314	1.9711	2.0146	0.2006	0.0298	0.7493
OB11G13260.1_OB08G29890.1	0.9583	0.3374	1.5141	2.7523	0.3521	0.0313	0.1997
OB11G13260.1_OB08G29920.1	0.9575	0.3051	1.4379	2.6143	0.3187	0.0291	0.1900
OB11G13300.1_OB04G24520.1	3.7393	0.4780	3.5087	1.1964	0.1278	0.0390	5.2730
OB11G13300.1_OB12G13750.1	0.8280	0.0811	0.7475	1.8982	0.0980	0.0139	0.1665
OB11G13320.1_OB11G13330.1	0.2594	0.1402	0.5123	2.2039	0.5404	0.0121	0.0322
OB11G13320.1_OB11G13360.1	0.1103	0.0341	0.1604	2.2322	0.3094	0.0057	0.0188
OB11G13330.1_OB11G13360.1	0.2658	0.1334	0.5040	2.3043	0.5021	0.0119	0.0326
OB11G13340.1_OB06G11070.1	1.2419	0.2006	1.4107	1.8289	0.1616	0.0379	0.4995
OB11G13390.1_OB03G47220.1	1.5113	0.0190	1.0561	1.2406	0.0126	0.0047	0.3421
OB11G13390.1_OB10G22500.1	1.5816	0.0228	1.0598	1.0272	0.0144	0.0051	0.2522
OB11G13410.1_OB12G13780.1	0.8133	0.2261	1.0597	1.8038	0.2780	0.0169	0.1095
OB11G13420.1_OB03G26960.1	4.1369	0.3712	3.9763	1.6397	0.0897	0.0276	6.8545
OB11G13420.1_OB08G10330.1	1.8062	0.2482	1.9331	1.7666	0.1374	0.0182	0.2840
OB11G13510.1_OB01G54110.1	1.5206	0.3237	1.8304	1.3715	0.2129	0.0260	0.2466
OB11G13520.1_OB12G14050.1	1.5660	0.0166	0.7825	0.9175	0.0106	0.0041	0.5948
OB11G13530.1_OB04G19900.1	2.1292	0.2724	2.2296	0.5435	0.1279	0.0262	1.5186
OB11G13540.1_OB12G14090.1	0.5196	0.1346	0.6386	1.9102	0.2591	0.0195	0.1116
OB11G13580.1_OB03G20440.1	3.8328	0.1406	1.7184	1.5855	0.0367	0.0114	5.6077
OB11G13640.1_OB11G21210.1	4.4584	0.4348	4.5715	2.3936	0.0975	0.0263	8.4813
OB11G13640.1_OB12G14180.1	0.6432	0.1332	0.8415	3.5138	0.2070	0.0125	0.0699
OB11G13670.1_OB01G43350.1	4.2385	0.2927	3.2087	1.4287	0.0691	0.0186	7.3315
OB11G13670.1_OB01G44890.1	0.9781	0.4080	1.6420	1.9913	0.4171	0.0241	0.1057
OB11G13670.1_OB02G35490.1	1.3502	0.2420	1.4802	1.2819	0.1793	0.0167	0.2069
OB11G13670.1_OB03G12240.1	2.5671	0.2902	2.4578	1.4880	0.1130	0.0188	0.7387
OB11G13670.1_OB03G37200.1	4.1234	0.4557	3.4943	1.4378	0.1105	0.0274	6.7937
OB11G13670.1_OB03G43690.1	1.7268	0.2252	1.6367	1.4347	0.1304	0.0157	0.2636
OB11G13670.1_OB03G43730.1	1.7867	0.2146	1.6640	1.1014	0.1201	0.0153	0.2825
OB11G13670.1_OB03G45230.1	1.2933	0.4201	1.8402	1.2446	0.3249	0.0244	0.1963
OB11G13670.1_OB04G29940.1	1.8682	0.2487	1.8657	1.3914	0.1331	0.0169	0.5023
OB11G13670.1_OB07G24940.1	1.5955	0.4185	2.0939	1.7481	0.2623	0.0244	0.3296
OB11G13670.1_OB08G28890.1	4.1260	0.3851	3.3800	1.5476	0.0933	0.0244	6.8053
OB11G13670.1_OB09G22900.1	3.0875	0.3743	2.9076	1.1376	0.1212	0.0244	1.6472
OB11G13670.1_OB12G12230.1	4.2199	0.2867	3.2141	1.3822	0.0679	0.0188	7.2417
OB11G13670.1_OB12G16160.1	2.9332	0.4155	3.0194	1.5907	0.1417	0.0270	4.9905
OB11G13670.1_OB12G20320.1	4.2277	0.2207	2.9428	1.2596	0.0522	0.0153	7.2793
OB11G13740.1_OB11G13710.1	0.9081	0.2843	1.3473	2.1589	0.3130	0.0133	0.0821
OB11G13740.1_OB11G13760.1	0.8990	0.3298	1.4658	2.4351	0.3668	0.0148	0.0747
OB11G13760.1_OB11G13710.1	1.4282	0.3030	1.8096	1.9836	0.2122	0.0139	0.2195
